2020-11-05 00:30:51.507828 : 185.133.212.30, Successful, Avg RTT:47.68
2020-11-05 00:30:51.702147 : 103.101.16.190, Successful, Avg RTT:48.08
2020-11-05 00:30:51.863985 : 103.101.16.214, Successful, Avg RTT:39.89
2020-11-05 00:30:59.869507 : 10.25.27.151, Failure!
2020-11-05 00:32:34.523875 : 103.233.206.222, Successful, Avg RTT:52.41
2020-11-05 00:32:34.756037 : 185.133.212.30, Successful, Avg RTT:57.5
2020-11-05 00:32:34.996199 : 103.101.16.190, Successful, Avg RTT:59.37
2020-11-05 00:32:35.181428 : 103.101.16.214, Successful, Avg RTT:45.97
2020-11-05 00:32:43.184534 : 10.25.27.151, Failure!
2020-11-05 00:35:42.204569 : 103.233.206.222, Successful, Avg RTT:55.29
2020-11-05 00:35:42.384860 : 185.133.212.30, Successful, Avg RTT:44.57
2020-11-05 00:35:42.580171 : 103.101.16.190, Successful, Avg RTT:48.23
2020-11-05 00:35:42.733437 : 103.101.16.214, Successful, Avg RTT:37.98
2020-11-05 00:35:50.738367 : 10.25.27.151, Failure!
2020-11-05 00:37:01.180318 : 103.233.206.222, Successful, Avg RTT:48.88
2020-11-05 00:37:01.403897 : 185.133.212.30, Successful, Avg RTT:54.9
2020-11-05 00:37:01.610047 : 103.101.16.190, Successful, Avg RTT:50.85
2020-11-05 00:37:01.784644 : 103.101.16.214, Successful, Avg RTT:42.74
2020-11-05 00:37:09.790359 : 10.25.27.151, Failure!
2020-11-05 00:40:43.042337 : 103.233.206.222, Successful, Avg RTT:49.32
2020-11-05 00:40:43.272247 : 185.133.212.30, Successful, Avg RTT:56.63
2020-11-05 00:40:43.496260 : 103.101.16.190, Successful, Avg RTT:55.46
2020-11-05 00:40:43.751013 : 103.101.16.214, Successful, Avg RTT:63.44
2020-11-05 00:40:51.756624 : 10.25.27.151, Failure!
2020-11-05 14:54:01.576704 : 103.233.206.222, Successful, Avg RTT:55.75
2020-11-05 14:54:09.593147 : 185.133.212.30, Failure!
2020-11-05 14:54:09.828747 : 103.101.16.190, Successful, Avg RTT:58.15
2020-11-05 14:54:10.004448 : 103.101.16.214, Successful, Avg RTT:43.57
2020-11-05 14:54:18.024922 : 10.25.27.151, Failure!
2020-11-05 14:55:26.695474 : 103.233.206.222, Successful, Avg RTT:57.98
2020-11-05 14:55:34.713744 : 185.133.212.30, Failure!
2020-11-05 14:55:34.914027 : 103.101.16.190, Successful, Avg RTT:49.7
2020-11-05 14:55:35.073555 : 103.101.16.214, Successful, Avg RTT:39.41
2020-11-05 14:55:43.097233 : 10.25.27.151, Failure!
2020-11-05 14:56:29.491513 : 103.233.206.222, Successful, Avg RTT:118.39
2020-11-05 14:56:37.519233 : 185.133.212.30, Failure!
2020-11-05 14:56:37.699192 : 103.101.16.190, Successful, Avg RTT:44.62
2020-11-05 14:56:37.914871 : 103.101.16.214, Successful, Avg RTT:53.58
2020-11-05 14:56:45.936864 : 10.25.27.151, Failure!
2020-11-05 14:58:11.752234 : 103.233.206.222, Successful, Avg RTT:53.02
2020-11-05 14:58:19.768411 : 185.133.212.30, Failure!
2020-11-05 14:58:19.948701 : 103.101.16.190, Successful, Avg RTT:44.63
2020-11-05 14:58:20.182239 : 103.101.16.214, Successful, Avg RTT:57.98
2020-11-05 14:58:28.199698 : 10.25.27.151, Failure!
